tol,oriSize,compressedsize,psnr,max_error,rmse,comp_ratio,method,time,data
0.100000,67108864,7543336,24.934687,9.739067,5.518015,8.896443,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000010,134793068,69755763,104.770973,0.001156,0.000666,1.932357,cuSZp,0.068000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000050,134793068,59637175,90.790695,0.005768,0.003329,2.260219,cuSZp,0.065000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000100,134793068,55425239,84.770775,0.011536,0.006658,2.431980,cuSZp,0.064000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000500,134793068,46280047,70.792381,0.057663,0.033284,2.912553,cuSZp,0.062000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.001000,134793068,42072319,64.771500,0.115311,0.066571,3.203842,cuSZp,0.061000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.005000,134793068,32153919,50.794193,0.576538,0.332773,4.192120,cuSZp,0.059000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.010000,134793068,28020543,44.779469,1.153076,0.665096,4.810509,cuSZp,0.057000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.020000,134793068,23964175,38.745174,2.306152,1.332292,5.624774,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.030000,134793068,21438359,35.229050,3.459236,1.997126,6.287471,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.050000,134793068,18072055,30.783476,5.765388,3.331840,7.458646,cuSZp,0.055000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.100000,134793068,14499083,24.611004,11.530766,6.781220,9.296661,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000010,536870912,241934552,104.771324,0.002047,0.001181,2.219075,cuSZp,0.244000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000050,536870912,202401992,90.791237,0.010224,0.005903,2.652498,cuSZp,0.235000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000100,536870912,185695052,84.770607,0.020449,0.011806,2.891143,cuSZp,0.232000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000500,536870912,147489792,70.787994,0.102242,0.059052,3.640055,cuSZp,0.224000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.001000,536870912,131222536,64.831306,0.204475,0.117239,4.091301,cuSZp,0.220000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.005000,536870912,93804424,50.901581,1.022369,0.582850,5.723300,cuSZp,0.213000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.010000,536870912,79074448,45.032253,2.044731,1.145574,6.789436,cuSZp,0.210000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.020000,536870912,65074804,39.250999,4.089462,2.228875,8.250058,cuSZp,0.206000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.030000,536870912,56560384,35.720100,6.134193,3.346807,9.491996,cuSZp,0.205000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.050000,536870912,47980864,31.498182,10.223648,5.441602,11.189272,cuSZp,0.201000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.100000,536870912,36444224,25.486208,20.447294,10.872400,14.731303,cuSZp,0.194000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000010,67108864,30174044,104.771217,0.000000,0.000000,2.224059,cuSZp,0.035000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000050,67108864,25284824,90.792564,0.000000,0.000000,2.654116,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000100,67108864,23189744,84.770020,0.000000,0.000000,2.893903,cuSZp,0.034000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000500,67108864,18155948,70.790474,0.000000,0.000000,3.696247,cuSZp,0.034000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.001000,67108864,16069240,64.774925,0.000000,0.000000,4.176231,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.005000,67108864,11446332,50.808640,0.000000,0.000000,5.862915,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.010000,67108864,9437524,45.036266,0.000000,0.000000,7.110855,cuSZp,0.029000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.020000,67108864,7503896,38.571003,0.000000,0.000000,8.943203,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.030000,67108864,6762512,35.286930,0.000000,0.000000,9.923659,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.050000,67108864,5289872,32.086811,0.000000,0.000000,12.686293,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.100000,67108864,4035120,22.666456,0.000000,0.000000,16.631195,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000010,134793068,58709659,104.771584,0.000000,0.000000,2.295927,cuSZp,0.065000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000050,134793068,49081435,90.792702,0.000000,0.000000,2.746315,cuSZp,0.063000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000100,134793068,44872067,84.771011,0.000000,0.000000,3.003942,cuSZp,0.062000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000500,134793068,35202151,70.792549,0.000000,0.000000,3.829114,cuSZp,0.060000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.001000,134793068,31033519,64.769188,0.000000,0.000000,4.343467,cuSZp,0.061000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.005000,134793068,21319575,50.819687,0.000000,0.000000,6.322503,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.010000,134793068,17579483,44.749794,0.000000,0.000000,7.667635,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.020000,134793068,14167999,38.558044,0.000000,0.000000,9.513910,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.030000,134793068,11756799,35.674526,0.000000,0.000000,11.465117,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.050000,134793068,10143187,30.806078,0.000000,0.000000,13.289025,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.100000,134793068,4814555,23.018253,0.000000,0.000000,27.996994,cuSZp,0.050000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000010,536870912,61964768,108.977638,0.000000,0.000000,8.664132,cuSZp,0.206000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000050,536870912,47993604,95.270813,0.000000,0.000000,11.186301,cuSZp,0.201000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000100,536870912,42327444,89.353508,0.000000,0.000000,12.683755,cuSZp,0.198000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000500,536870912,30292540,75.752167,0.000000,0.000000,17.722876,cuSZp,0.189000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.001000,536870912,25609696,69.969673,0.000001,0.000000,20.963579,cuSZp,0.186000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.005000,536870912,16252416,56.642162,0.000004,0.000001,33.033298,cuSZp,0.183000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.010000,536870912,13016964,51.038879,0.000008,0.000002,41.243942,cuSZp,0.178000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.020000,536870912,10200684,45.420174,0.000015,0.000004,52.630875,cuSZp,0.174000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.030000,536870912,8702932,42.143402,0.000023,0.000006,61.688511,cuSZp,0.175000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.050000,536870912,7007112,38.193474,0.000038,0.000009,76.618004,cuSZp,0.173000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
