tol,OriSize,total_latency,load_time,transfer_time,comp_time,decomp_time
0.0001,3800,27.70656967167336,1.9,9.19159021150876,10.828470894578494,5.786508565586107
0.0001,3900,28.467771661087873,1.95,9.4334741644432,11.160527037498996,5.923770459145678
0.0005,100,0.7820403808115054,0.05,0.16481788051659274,0.33035805458048656,0.23686444571442614
0.0005,200,1.4235727475230964,0.1,0.3296357610331855,0.5960306461403292,0.3979063403495817
0.0005,300,2.0458626649849023,0.15,0.49445364154977817,0.8524972754851253,0.5489117479499988
0.0005,400,2.6837276908762457,0.2,0.659271522066371,1.1198219396234097,0.7046342291864652
0.0005,500,3.3026079134661908,0.25,0.8240894025829637,1.3793407541213776,0.8491777567618496
0.0005,600,3.940465017846118,0.3,0.9889072830995563,1.6455884239504883,1.0059693107960732
0.0005,700,4.577078609499877,0.35,1.1537251636161492,1.9110137764649502,1.1623396694187782
0.0005,800,5.208279135928702,0.4,1.318543044132742,2.1740061887638964,1.3157299030320635
0.0005,900,5.834184284942861,0.45,1.4833609246493347,2.4345989594388637,1.4662244008546614
0.0005,1000,6.454907983010772,0.5,1.6481788051659274,2.6928247821833184,1.613904395661526
0.0005,1100,7.088801515243592,0.55,1.8129966856825201,2.955866921287251,1.7699379082738207
0.0005,1200,7.726940281212118,0.6,1.9778145661991127,3.2202641176813245,1.9288615973316814
0.0005,1300,8.364046329432917,0.65,2.1426324467157056,3.483954162214383,2.087459720502827
0.0005,1400,9.000123492511952,0.7,2.3074503272322984,3.7469398881005676,2.245733277179086
0.0005,1500,9.635175583854021,0.75,2.472268207748891,4.009224113439119,2.4036832626660116
0.0005,1600,10.269206397784279,0.8,2.637086088265484,4.270809641315044,2.561310668203751
0.0005,1700,10.90221970966882,0.85,2.8019039687820766,4.531699259898965,2.7186164809877775
0.0005,1800,11.534219276034364,0.9,2.9667218492986693,4.791895742546193,2.8756016841895007
0.0005,1900,12.165208834686998,0.95,3.131539729815262,5.051401847894988,3.032267256976748
0.0005,2000,12.795192104830049,1.0,3.296357610331855,5.310220319964067,3.1886141745341265
0.0005,2100,13.436574182992382,1.05,3.461175490848447,5.583596606095138,3.3418020860487982
0.0005,2200,14.090285386038879,1.1,3.6259933713650403,5.8726051947111735,3.491686819962667
0.0005,2300,14.745500724157026,1.15,3.790811251881633,6.163907756576045,3.6407817156993474
0.0005,2400,15.402253845240011,1.2,3.9556291323982253,6.457531712748504,3.789093000093282
0.0005,2500,16.060578770684693,1.25,4.120447012914818,6.753504923073264,3.9366268346966096
0.0005,2600,16.72050990505683,1.3,4.285264893431411,7.051855694992967,4.083389316632454
0.0005,2700,17.382082045956217,1.35,4.450082773948004,7.352612792573341,4.22938647943487
0.0005,2800,18.045330394087905,1.4,4.614900654464597,7.65580544574763,4.3746242938756765
0.0005,2900,18.71029056354613,1.45,4.779718534981189,7.961463359786524,4.519108668778419
0.0005,3000,19.37699859231753,1.5,4.944536415497782,8.269616725000033,4.662845451819716
0.0005,3100,20.045490953010486,1.55,5.109354296014375,8.580296226677941,4.805840430318167
0.0005,3200,20.715804563817837,1.6,5.274172176530968,8.89353305527576,4.948099332011109
0.0005,3300,21.387976799720196,1.65,5.43899005704756,9.209358916853244,5.0896278258193925
0.0005,3400,22.062045503937355,1.7,5.603807937564153,9.527806043772799,5.230431522600406
0.0005,3500,22.738048999635723,1.75,5.7686258180807455,9.848907205665409,5.3705159758895675
0.0005,3600,23.416026101899696,1.8,5.933443698597339,10.172695720671877,5.509886682630482
0.0005,3700,24.096016129975382,1.85,6.098261579113932,10.499205466967492,5.6485490838939585
0.0005,3800,24.778058919795125,1.9,6.263079459630524,10.828470894578494,5.786508565586107
0.0005,3900,25.46219483679179,1.95,6.4278973401471164,11.160527037498996,5.923770459145678
0.001,100,0.7546498996817982,0.05,0.1374273993868855,0.33035805458048656,0.23686444571442614
0.001,200,1.368791785263682,0.1,0.274854798773771,0.5960306461403292,0.3979063403495817
0.001,300,1.9636912215957807,0.15,0.4122821981606565,0.8524972754851253,0.5489117479499988
0.001,400,2.574165766357417,0.2,0.549709597547542,1.1198219396234097,0.7046342291864652
0.001,500,3.1656555078176547,0.25,0.6871369969344274,1.3793407541213776,0.8491777567618496
0.001,600,3.7761221310678743,0.3,0.824564396321313,1.6455884239504883,1.0059693107960732
0.001,700,4.385345241591927,0.35,0.9619917957081984,1.9110137764649502,1.1623396694187782
0.001,800,4.989155286891044,0.4,1.099419195095084,2.1740061887638964,1.3157299030320635
0.001,900,5.587669954775494,0.45,1.2368465944819695,2.4345989594388637,1.4662244008546614
0.001,1000,6.1810031717137,0.5,1.3742739938688548,2.6928247821833184,1.613904395661526
0.001,1100,6.787506222816813,0.55,1.5117013932557404,2.955866921287251,1.7699379082738207
0.001,1200,7.398254507655632,0.6,1.649128792642626,3.2202641176813245,1.9288615973316814
0.001,1300,8.007970074746723,0.65,1.7865561920295114,3.483954162214383,2.087459720502827
0.001,1400,8.61665675669605,0.7,1.9239835914163967,3.7469398881005676,2.245733277179086
0.001,1500,9.224318366908413,0.75,2.0614109908032825,4.009224113439119,2.4036832626660116
0.001,1600,9.830958699708962,0.8,2.198838390190168,4.270809641315044,2.561310668203751
0.001,1700,10.436581530463796,0.85,2.3362657895770536,4.531699259898965,2.7186164809877775
0.001,1800,11.041190615699634,0.9,2.473693188963939,4.791895742546193,2.8756016841895007
0.001,1900,11.644789693222561,0.95,2.6111205883508246,5.051401847894988,3.032267256976748
0.001,2000,12.247382482235903,1.0,2.7485479877377097,5.310220319964067,3.1886141745341265
0.001,2100,12.861374079268531,1.05,2.8859753871245952,5.583596606095138,3.3418020860487982
0.001,2200,13.48769480118532,1.1,3.0234027865114808,5.8726051947111735,3.491686819962667
0.001,2300,14.115519658173758,1.15,3.1608301858983663,6.163907756576045,3.6407817156993474
0.001,2400,14.744882298127038,1.2,3.298257585285252,6.457531712748504,3.789093000093282
0.001,2500,15.375816742442012,1.25,3.4356849846721373,6.753504923073264,3.9366268346966096
0.001,2600,16.008357395684442,1.3,3.573112384059023,7.051855694992967,4.083389316632454
0.001,2700,16.64253905545412,1.35,3.7105397834459084,7.352612792573341,4.22938647943487
0.001,2800,17.2783969224561,1.4,3.8479671828327935,7.65580544574763,4.3746242938756765
0.001,2900,17.915966610784622,1.45,3.9853945822196795,7.961463359786524,4.519108668778419
0.001,3000,18.555284158426314,1.5,4.122821981606565,8.269616725000033,4.662845451819716
0.001,3100,19.19638603798956,1.55,4.26024938099345,8.580296226677941,4.805840430318167
0.001,3200,19.839309167667203,1.6,4.397676780380336,8.89353305527576,4.948099332011109
0.001,3300,20.484090922439858,1.65,4.535104179767221,9.209358916853244,5.0896278258193925
0.001,3400,21.13076914552731,1.7,4.672531579154107,9.527806043772799,5.230431522600406
0.001,3500,21.77938216009597,1.75,4.809958978540992,9.848907205665409,5.3705159758895675
0.001,3600,22.429968781230237,1.8,4.947386377927878,10.172695720671877,5.509886682630482
0.001,3700,23.08256832817621,1.85,5.084813777314763,10.499205466967492,5.6485490838939585
0.001,3800,23.73722063686625,1.9,5.222241176701649,10.828470894578494,5.786508565586107
0.001,3900,24.39396607273321,1.95,5.359668576088535,11.160527037498996,5.923770459145678
0.005,100,0.695752560315952,0.05,0.07853006002103938,0.33035805458048656,0.23686444571442614
0.005,200,1.2509971065319896,0.1,0.15706012004207875,0.5960306461403292,0.3979063403495817
0.005,300,1.7869992034982423,0.15,0.23559018006311813,0.8524972754851253,0.5489117479499988
0.005,400,2.3385764088940326,0.2,0.3141202400841575,1.1198219396234097,0.7046342291864652
0.005,500,2.8711688109884244,0.25,0.3926503001051969,1.3793407541213776,0.8491777567618496
0.005,600,3.422738094872798,0.3,0.47118036012623626,1.6455884239504883,1.0059693107960732
0.005,700,3.973063866031004,0.35,0.5497104201472756,1.9110137764649502,1.1623396694187782
0.005,800,4.517976571964275,0.4,0.628240480168315,2.1740061887638964,1.3157299030320635
0.005,900,5.05759390048288,0.45,0.7067705401893544,2.4345989594388637,1.4662244008546614
0.005,1000,5.592029778055238,0.5,0.7853006002103938,2.6928247821833184,1.613904395661526
0.005,1100,6.139635489792505,0.55,0.8638306602314332,2.955866921287251,1.7699379082738207
0.005,1200,6.691486435265478,0.6,0.9423607202524725,3.2202641176813245,1.9288615973316814
0.005,1300,7.242304662990723,0.65,1.0208907802735119,3.483954162214383,2.087459720502827
0.005,1400,7.792094005574205,0.7,1.0994208402945511,3.7469398881005676,2.245733277179086
0.005,1500,8.340858276420722,0.75,1.1779509003155906,4.009224113439119,2.4036832626660116
0.005,1600,8.888601269855425,0.8,1.25648096033663,4.270809641315044,2.561310668203751
0.005,1700,9.435326761244411,0.85,1.3350110203576695,4.531699259898965,2.7186164809877775
0.005,1800,9.981038507114402,0.9,1.4135410803787087,4.791895742546193,2.8756016841895007
0.005,1900,10.525740245271484,0.95,1.4920711403997482,5.051401847894988,3.032267256976748
0.005,2000,11.069435694918981,1.0,1.5706012004207877,5.310220319964067,3.1886141745341265
0.005,2100,11.624529952585762,1.05,1.649131260441827,5.583596606095138,3.3418020860487982
0.005,2200,12.191953335136706,1.1,1.7276613204628664,5.8726051947111735,3.491686819962667
0.005,2300,12.760880852759298,1.15,1.8061913804839058,6.163907756576045,3.6407817156993474
0.005,2400,13.331346153346733,1.2,1.884721440504945,6.457531712748504,3.789093000093282
0.005,2500,13.90338325829586,1.25,1.9632515005259845,6.753504923073264,3.9366268346966096
0.005,2600,14.477026572172445,1.3,2.0417815605470238,7.051855694992967,4.083389316632454
0.005,2700,15.052310892576275,1.35,2.120311620568063,7.352612792573341,4.22938647943487
0.005,2800,15.629271420212408,1.4,2.1988416805891022,7.65580544574763,4.3746242938756765
0.005,2900,16.207943769175085,1.45,2.2773717406101417,7.961463359786524,4.519108668778419
0.005,3000,16.78836397745093,1.5,2.355901800631181,8.269616725000033,4.662845451819716
0.005,3100,17.37056851764833,1.55,2.4344318606522206,8.580296226677941,4.805840430318167
0.005,3200,17.95459430796013,1.6,2.51296192067326,8.89353305527576,4.948099332011109
0.005,3300,18.540478723366935,1.65,2.5914919806942995,9.209358916853244,5.0896278258193925
0.005,3400,19.12825960708854,1.7,2.670022040715339,9.527806043772799,5.230431522600406
0.005,3500,19.717975282291356,1.75,2.748552100736378,9.848907205665409,5.3705159758895675
0.005,3600,20.309664564059776,1.8,2.8270821607574175,10.172695720671877,5.509886682630482
0.005,3700,20.903366771639906,1.85,2.905612220778457,10.499205466967492,5.6485490838939585
0.005,3800,21.4991217409641,1.9,2.9841422807994964,10.828470894578494,5.786508565586107
0.005,3900,22.09696983746521,1.95,3.062672340820536,11.160527037498996,5.923770459145678
0.01,100,0.6766731711105708,0.05,0.05945067081565808,0.33035805458048656,0.23686444571442614
0.01,200,1.2128383281212272,0.1,0.11890134163131616,0.5960306461403292,0.3979063403495817
0.01,300,1.7297610358820983,0.15,0.17835201244697424,0.8524972754851253,0.5489117479499988
0.01,400,2.2622588520725073,0.2,0.23780268326263232,1.1198219396234097,0.7046342291864652
0.01,500,2.7757718649615177,0.25,0.2972533540782904,1.3793407541213776,0.8491777567618496
0.01,600,3.30826175964051,0.3,0.3567040248939485,1.6455884239504883,1.0059693107960732
0.01,700,3.8395081415933348,0.35,0.41615469570960656,1.9110137764649502,1.1623396694187782
0.01,800,4.365341458321224,0.4,0.47560536652526464,2.1740061887638964,1.3157299030320635
0.01,900,4.885879397634448,0.45,0.5350560373409227,2.4345989594388637,1.4662244008546614
0.01,1000,5.401235886001425,0.5,0.5945067081565808,2.6928247821833184,1.613904395661526
0.01,1100,5.92976220853331,0.55,0.6539573789722388,2.955866921287251,1.7699379082738207
0.01,1200,6.462533764800903,0.6,0.713408049787897,3.2202641176813245,1.9288615973316814
0.01,1300,6.994272603320765,0.65,0.7728587206035551,3.483954162214383,2.087459720502827
0.01,1400,7.524982556698866,0.7,0.8323093914192131,3.7469398881005676,2.245733277179086
0.01,1500,8.054667438340001,0.75,0.8917600622348711,4.009224113439119,2.4036832626660116
0.01,1600,8.583331042569323,0.8,0.9512107330505293,4.270809641315044,2.561310668203751
0.01,1700,9.11097714475293,0.85,1.0106614038661874,4.531699259898965,2.7186164809877775
0.01,1800,9.63760950141754,0.9,1.0701120746818453,4.791895742546193,2.8756016841895007
0.01,1900,10.16323185036924,0.95,1.1295627454975035,5.051401847894988,3.032267256976748
0.01,2000,10.687847910811355,1.0,1.1890134163131616,5.310220319964067,3.1886141745341265
0.01,2100,11.223862779272755,1.05,1.2484640871288197,5.583596606095138,3.3418020860487982
0.01,2200,11.772206772618318,1.1,1.3079147579444776,5.8726051947111735,3.491686819962667
0.01,2300,12.322054901035528,1.15,1.367365428760136,6.163907756576045,3.6407817156993474
0.01,2400,12.87344081241758,1.2,1.426816099575794,6.457531712748504,3.789093000093282
0.01,2500,13.426398528161327,1.25,1.4862667703914518,6.753504923073264,3.9366268346966096
0.01,2600,13.98096245283253,1.3,1.5457174412071102,7.051855694992967,4.083389316632454
0.01,2700,14.53716738403098,1.35,1.605168112022768,7.352612792573341,4.22938647943487
0.01,2800,15.095048522461733,1.4,1.6646187828384262,7.65580544574763,4.3746242938756765
0.01,2900,15.654641482219027,1.45,1.7240694536540844,7.961463359786524,4.519108668778419
0.01,3000,16.21598230128949,1.5,1.7835201244697423,8.269616725000033,4.662845451819716
